id,listing_id,post_town,outcode,property_type,first_published_date_day,first_published_date_month,first_published_date_year,last_published_date_day,last_published_date_month,last_published_date_year,num_bathrooms,num_bedrooms,num_floors,num_recepts,price
31416,52382879,Southampton,19,2,18,7,2019,28,8,2019,3,4,0,2,425000
31417,52138612,Southampton,18,3,12,8,2019,28,8,2019,2,4,0,2,420000
31418,52380265,Southampton,15,0,16,8,2019,28,8,2019,1,4,0,1,475000
31419,52435326,Southampton,16,3,18,7,2019,20,8,2019,2,4,0,3,450000
31420,52135756,Southampton,16,3,14,7,2018,2,2,2019,1,4,0,3,420000
31421,48380258,Southampton,18,3,11,6,2019,28,6,2019,0,4,0,0,419950
31422,51738937,Southampton,19,2,7,6,2019,26,6,2019,3,4,0,1,419950
31423,51699609,Southampton,17,3,20,9,2018,17,1,2019,1,3,0,2,415000
31424,49102760,Southampton,15,2,22,8,2019,27,8,2019,2,4,0,1,415000
31425,52489002,Southampton,18,3,28,8,2019,28,8,2019,1,4,0,2,415000
31426,52539395,Southampton,14,2,9,10,2018,15,8,2019,3,6,0,2,425000
31427,49298079,Southampton,18,3,3,5,2019,5,7,2019,1,3,0,2,415000
31428,51327737,Southampton,18,3,21,8,2019,22,8,2019,2,3,0,2,410000
31429,52473346,Southampton,16,3,23,8,2019,24,8,2019,1,3,0,3,410000
31430,52498784,Southampton,18,3,4,6,2019,30,7,2019,2,4,0,3,400000
31431,51651179,Southampton,30,3,2,5,2019,10,7,2019,1,4,0,2,400000
31432,51315875,Southampton,16,2,13,12,2018,2,2,2019,1,3,0,2,400000
31433,47591822,Southampton,30,3,10,7,2019,28,8,2019,1,4,0,1,415000
31434,52041604,Southampton,30,0,25,7,2019,23,8,2019,2,3,0,1,400000
31435,52206698,Southampton,17,5,21,8,2019,27,8,2019,2,3,0,1,400000
31436,52479142,Southampton,18,5,8,1,2019,21,8,2019,0,2,0,0,400000
31437,50098969,Southampton,30,2,3,5,2019,15,7,2019,2,4,0,1,400000
31438,51327300,Southampton,17,5,12,7,2019,22,8,2019,1,2,0,1,400000
31439,52403259,Southampton,18,3,17,4,2019,14,8,2019,1,4,0,2,400000
31440,51159327,Southampton,14,5,11,7,2019,13,8,2019,0,2,0,0,400000
31441,52053611,Southampton,19,2,25,7,2019,26,7,2019,2,4,0,2,400000
31442,52206606,Southampton,15,2,8,8,2018,22,8,2019,2,4,0,2,425000
31443,44731483,Southampton,30,3,30,7,2019,10,8,2019,1,3,0,2,400000
31444,52243590,Southampton,15,2,29,3,2019,13,8,2019,1,4,0,2,400000
31445,50967280,Southampton,31,3,20,3,2019,28,8,2019,1,4,0,2,400000
31446,50863094,Southampton,30,3,9,8,2019,28,8,2019,2,4,0,2,400000
31447,52363025,Southampton,16,3,27,5,2019,28,8,2019,1,3,0,1,400000
31448,51568611,Southampton,16,2,20,8,2019,21,8,2019,3,6,0,2,400000
31449,52468485,Southampton,18,3,14,8,2019,15,8,2019,1,3,0,3,400000
31450,52408105,Southampton,19,2,15,4,2019,19,8,2019,1,3,0,2,395000
